,random_shootingepisodeReward,mppiepisodeReward
0,-33.797171731899745,
1,1533.5095147751545,
2,724.6699683683509,
3,3526.583049153519,
4,-125.0950804218268,
5,1316.509503710517,
6,1864.1837464809448,
7,1476.3168625062788,
8,2996.1344224887757,
9,-169.43298574456443,
10,39.75856846963679,
11,3625.8659163620437,
12,1053.785774288063,
13,-72.19210026177154,
14,3211.858498265647,
15,3626.992455823187,
16,3262.73985443717,
17,335.5734226302828,
18,-68.53091481450637,
19,214.6371652959929,
20,,3007.6505348263295
21,,2775.392188660826
22,,2269.71567662837
23,,3734.8505342237972
24,,287.5765724599425
25,,1386.049183844999
26,,19.126054206185753
27,,1916.1680521806604
28,,2905.8957164844965
29,,2206.770498985569
30,,-154.62061534835908
31,,3735.5529095192924
32,,2861.208330838652
33,,2783.291415381323
34,,1807.33103961645
35,,737.5066316302192
36,,2675.5598175194373
37,,784.9773179818156
38,,-82.90429216446115
39,,2718.436825340374
